Id,Year,New Or Old,Name,Address,Production Origin,Color,Fuel,Car Gearbox,Used (kilomet),Price
4263767,2006,Xe cũ,"BMW X5 3.0si",TP HCM,Xe nhập khẩu,màu đen,"máy xăng 3.0 L",số tự động,120000,275 Triệu
4344576,2022,Xe mới,"Mercedes Benz E class E300 AMG",Hà Nội,Xe lắp ráp trong nước,màu đen,"máy xăng 2.0 L",số tự động,0,2 Tỷ 930 Triệu
4332548,2017,Xe cũ,"Ford Explorer Limited 2.3L EcoBoost",Hà Nội,Xe nhập khẩu,màu đen,"máy xăng 2.3 L",số tự động,50000,1 Tỷ 380 Triệu
4364961,2017,Xe cũ,"Mercedes Benz GLC 300 4Matic",Hà Nội,Xe lắp ráp trong nước,màu đen,"máy xăng 2.0 L",số tự động,39679,1 Tỷ 620 Triệu
4404856,2019,Xe cũ,"Ford Ranger XLS 2.2L 4x2 AT",Đồng Nai,Xe nhập khẩu,màu trắng,"máy dầu 2.2 L",số tự động,67000,716 Triệu
4242989,2022,Xe mới,"Ford Everest Titanium 2.0L 4x4 AT",Lâm Đồng,Xe nhập khẩu,màu trắng,"máy dầu 2.0 L",số tự động,0,1 Tỷ 419 Triệu
4045723,2022,Xe mới,"MG ZS Standard 1.5 AT 2WD",TP HCM,Xe nhập khẩu,màu trắng,"máy xăng 1.5 L",số tự động,0,519 Triệu
4319520,2022,Xe mới,"Kia K3 GT 1.6 AT Turbo",Hà Nội,Xe lắp ráp trong nước,màu trắng,"máy xăng 1.6 L",số tự động,0,764 Triệu
3942651,2022,Xe mới,"Mazda CX5 Deluxe 2.0 AT",Vĩnh Phúc,Xe lắp ráp trong nước,màu đỏ,"máy xăng 2.0 L",số tự động,0,818 Triệu
4319882,2017,Xe cũ,"Mercedes Benz E class E300 AMG",TP HCM,Xe lắp ráp trong nước,màu nâu,"máy xăng 2.0 L",số tự động,30000,1 Tỷ 888 Triệu
3035229,2022,Xe mới,"Mazda 3 1.5L Deluxe",Hà Nội,Xe lắp ráp trong nước,màu trắng,"máy xăng 1.5 L",số tự động,0,627 Triệu
4260533,2022,Xe mới,"Mercedes Benz S class S450 Luxury",Hà Nội,Xe nhập khẩu,màu đen,"máy xăng 3.0 L",số tự động,0,5 Tỷ 749 Triệu
4379370,2016,Xe cũ,"BMW 7 Series 730Li",Hà Nội,Xe nhập khẩu,màu đen,"máy xăng 2.0 L",số tự động,63000,2 Tỷ 550 Triệu
2627680,2022,Xe mới,"Toyota Vios G 1.5 CVT",Hải Dương,Xe lắp ráp trong nước,màu trắng,"máy xăng 1.5 L",số tự động,0,586 Triệu
4038550,2022,Xe mới,"Toyota Vios E CVT",TP HCM,Xe lắp ráp trong nước,màu trắng,"máy xăng 1.5 L",số tự động,0,536 Triệu
4106729,2022,Xe mới,"Ford Everest Titanium 2.0L 4x4 AT",Bắc Giang,Xe nhập khẩu,màu đỏ,"máy dầu 2.0 L",số tự động,0,1 Tỷ 412 Triệu
4311217,2015,Xe cũ,"LandRover Range Rover Autobiography 3.0",Hà Nội,Xe nhập khẩu,màu đen,"máy xăng 3.0 L",số tự động,66579,4 Tỷ 430 Triệu
3366487,2021,Xe mới,"Ford Ranger XLS 2.2L 4x2 AT",Hà Nội,Xe lắp ráp trong nước,màu ghi,"máy dầu 2.2 L",số tự động,0,650 Triệu
4410630,2018,Xe cũ,"Mercedes Benz GLC 250 4Matic",Hà Nội,Xe lắp ráp trong nước,màu đen,"máy xăng 2.0 L",số tự động,38000,1 Tỷ 725 Triệu
4339068,2020,Xe cũ,"Mercedes Benz GLC 300 4Matic",Hà Nội,Xe lắp ráp trong nước,màu đỏ,"máy xăng 2.0 L",số tự động,10000,2 Tỷ 345 Triệu
4359819,2013,Xe cũ,"LandRover Range Rover Sport HSE",TP HCM,Xe nhập khẩu,màu cát,"máy xăng 3.0 L",số tự động,45000,2 Tỷ 450 Triệu
4164695,2021,Xe mới,"Toyota Corolla Cross 1.8HV",Bắc Ninh,Xe nhập khẩu,màu đen,"xe hybrid 1.8 L",số tự động,0,920 Triệu
4395735,2018,Xe cũ,"Mazda 3 1.5 AT",Thanh Hóa,Xe lắp ráp trong nước,màu trắng,"máy xăng 1.5 L",số tự động,4,555 Triệu
4248102,2019,Xe cũ,"Lexus RX 300",Hà Nội,Xe nhập khẩu,màu vàng,"máy xăng 2.0 L",số tự động,12000,3 Tỷ 85 Triệu
3569589,2022,Xe mới,"Peugeot 2008 GT Line 1.2 AT",Lâm Đồng,Xe lắp ráp trong nước,màu trắng,"máy xăng 1.2 L",số tự động,0,844 Triệu
4018046,2021,Xe cũ,"Mercedes Benz C class C180 AMG",TP HCM,Xe lắp ráp trong nước,màu trắng,"máy xăng 1.5 L",số tự động,5000,1 Tỷ 449 Triệu
3682840,2021,Xe mới,"MG ZS Comfort 1.5 AT 2WD",Đồng Nai,Xe nhập khẩu,màu trắng,"máy xăng 1.5 L",số tự động,0,569 Triệu
3682795,2022,Xe mới,"Toyota Vios E CVT",TP HCM,Xe lắp ráp trong nước,màu cát,"máy xăng 1.5 L",số tự động,0,536 Triệu
4274701,2019,Xe cũ,"Toyota Hilux 2.8G 4x4 AT",TP HCM,Xe nhập khẩu,màu trắng,"máy dầu 2.8 L",số tự động,31000,890 Triệu
4391875,2019,Xe cũ,"Honda City 1.5",TP HCM,Xe lắp ráp trong nước,màu đen,"máy xăng 1.5 L",số tự động,84000,480 Triệu
4086418,2022,Xe mới,"Hyundai Accent 1.4 MT",TP HCM,Xe lắp ráp trong nước,màu đen,"máy xăng 1.4 L",số tay,0,452 Triệu
4132055,2022,Xe mới,"Mercedes Benz GLC 200 4Matic",Hà Nội,Xe lắp ráp trong nước,màu trắng,"máy xăng 2.0 L",số tự động,0,2 Tỷ 49 Triệu
3864979,2022,Xe mới,"Mercedes Benz GLC 200 4Matic",Hà Nội,Xe lắp ráp trong nước,màu đỏ,"máy xăng 2.0 L",số tự động,0,2 Tỷ 49 Triệu
4379479,2015,Xe cũ,"Lexus NX 200t",Hà Nội,Xe nhập khẩu,màu xám,"máy xăng 2.0 L",số tự động,70000,1 Tỷ 680 Triệu
4389645,2015,Xe cũ,"Mercedes Benz S class S400L",Hà Nội,Xe lắp ráp trong nước,màu trắng,"máy xăng 3.0 L",số tự động,76000,2 Tỷ 350 Triệu
4038805,2021,Xe mới,"Hyundai i10 1.2 AT",Hà Nội,Xe lắp ráp trong nước,màu đỏ,"máy xăng 1.25 L",số tự động,0,422 Triệu
4389357,2015,Xe cũ,"Hyundai Elantra 1.6 AT",TP HCM,Xe nhập khẩu,màu đen,"máy xăng 1.6 L",số tự động,90000,455 Triệu
2735802,2022,Xe mới,"Toyota Fortuner 2.4G 4x2 AT",Hà Nội,Xe lắp ráp trong nước,màu trắng,"máy dầu 2.4 L",số tự động,0,1 Tỷ 107 Triệu
4268899,2015,Xe cũ,"Toyota Prado TXL 2.7L",Hà Nội,Xe nhập khẩu,màu đen,"máy xăng 2.7 L",số tự động,50000,1 Tỷ 625 Triệu
4296249,2016,Xe cũ,"BMW 7 Series 740Li",TP HCM,Xe nhập khẩu,màu đen,"máy xăng 3.0 L",số tự động,47000,2 Tỷ 990 Triệu
4306153,2022,Xe mới,"Peugeot 3008 AL",Hà Nội,Xe lắp ráp trong nước,màu xám,"máy xăng 1.6 L",số tự động,0,1 Tỷ 129 Triệu
