price,Displacement,Odometer,Stroke,Year,Weight,Engine Torque,Fuel Capacity
12499.0,1202.0,1827.0,3.811,2017.0,754.0,73.0,4.5
11299.0,1202.0,2467.0,3.811,2017.0,754.0,70.8,2.1
10995.0,1202.0,8529.0,3.811,2017.0,754.0,70.8,2.1
9995.0,883.0,4088.0,3.811,2017.0,754.0,53.8,3.3
8595.0,883.0,7595.0,3.811,2017.0,754.0,53.8,3.3
9499.0,1312.0,16587.0,4.068,2017.0,754.8326035911603,64.944,3.4
17995.0,1811.0,20357.466614906833,4.449,2015.0,756.0,119.2,5.5
11749.0,1130.703,3709.0,3.962,2017.0,754.0,72.2,3.3
15995.0,1811.0,20960.0,4.449,2017.0,756.0,119.2,5.5
3999.0,271.0,201.0,3.0,2017.0,754.8326035911603,92.0,3.2
11499.0,1352.0,34441.0,3.0,2017.0,754.8326035911603,111.0,5.8
11999.0,1050.0,19514.0,3.0,2017.0,754.8326035911603,92.0,5.98
14495.0,1746.0,6756.0,4.374,2017.0,754.8326035911603,104.7,5.0
7000.0,249.9,20357.466614906833,3.0,1994.0,754.8326035911603,100.3,2.21
18995.0,1237.0,1304.0,3.563,2017.0,754.8326035911603,129.0,4.7
6499.0,1746.0,3498.0,4.068,2017.0,754.8326035911603,119.0,6.0
8499.0,436.0,1108.0,4.375,2017.0,754.8326035911603,118.0,5.0
11395.0,1200.0,3721.0,3.12,2017.0,754.8326035911603,98.8,5.0
8999.0,647.0,11101.0,3.0,2016.0,754.8326035911603,46.0,4.2
12499.0,1868.0,20357.466614906833,4.374,2006.0,754.8326035911603,109.0,6.0
14995.0,1689.5,9274.0,4.374,2016.0,754.0,102.0,4.7
18999.0,1689.5,13980.0,4.374,2016.0,756.0,104.7,6.0
14990.0,1689.5,51247.0,4.374,2016.0,756.0,104.7,6.0
17994.0,1689.5,11994.0,4.374,2016.0,756.0,104.7,6.0
17494.0,1689.5,35723.0,4.374,2016.0,756.0,104.7,6.0
19994.0,1689.5,38196.0,4.374,2016.0,756.0,104.7,6.0
19999.0,1689.5,22164.0,4.374,2016.0,756.0,104.7,6.0
19999.0,1689.5,28474.0,4.374,2016.0,756.0,105.5,6.0
20999.0,1689.5,20357.466614906833,4.374,2000.0,756.0,105.5,6.0
19995.0,1689.5,11873.0,4.374,2016.0,756.0,105.5,6.0
19995.0,1689.5,20357.466614906833,4.374,2009.0,756.0,105.5,6.0
19999.0,1689.5,33135.0,4.374,2016.0,756.0,105.5,6.0
20999.0,1689.5,22156.0,4.374,2016.0,756.0,105.5,6.0
19990.0,1689.5,20357.466614906833,4.374,2010.0,756.0,105.5,6.0
20494.0,1689.5,27417.0,4.374,2016.0,756.0,104.7,6.0
21494.0,1689.5,20357.466614906833,4.374,2016.0,756.0,104.7,6.0
20999.0,1689.5,20357.466614906833,4.374,2021.0,756.0,104.7,6.0
19999.0,1689.5,20357.466614906833,4.374,2016.0,756.0,104.7,6.0
21595.0,1689.5,20357.466614906833,4.374,2018.0,756.0,104.7,6.0
21995.0,1689.5,20357.466614906833,4.374,2016.0,756.0,104.7,6.0
