price, origin,condition,carType,km,carColor,interiorColor,carDoor,carSeat,gear,wheelDrive,carMaker,yearsManufacturing,capacity,carEngine
566.0,Lắp ráp trong nước,Xe mới,Sedan,0,Cát,Kem,4,5.0,Số tự động,"FWD,Dẫn động cầu trước",Toyota,2022,1.5,Xăng
648.0,Nhập khẩu,Xe mới,SUV,0,Đen,Nhiều màu,5,7.0,Số tự động,"FWD,Dẫn động cầu trước",Mitsubishi,2022,1.5,Xăng
3359.0,Nhập khẩu,Xe đã dùng,Convertible/Cabriolet,5000,Đỏ,Đen,2,2.0,Số tự động,"RFD,Dẫn động cầu sau",BMW,2020,2.0,Xăng
1030.0,Lắp ráp trong nước,Xe mới,SUV,0,Trắng,Màu khác,5,7.0,Số tự động,"FWD,Dẫn động cầu trước",Hyundai,2021,2.5,Xăng
1209.0,Lắp ráp trong nước,Xe mới,Van/Minivan,0,Trắng,Nhiều màu,4,10.0,Số tay,"RFD,Dẫn động cầu sau",Ford,2022,2.2,Dầu
430.0,Lắp ráp trong nước,Xe đã dùng,SUV,110000,Đen,Đen,5,5.0,Số tự động,"FWD,Dẫn động cầu trước",Honda,2010,2.4,Xăng
890.0,Lắp ráp trong nước,Xe đã dùng,Crossover,8000,Đỏ,Đen,5,5.0,Số tự động,"FWD,Dẫn động cầu trước",Hyundai,2021,2.0,Xăng
855.0,Lắp ráp trong nước,Xe đã dùng,SUV,22000,Đỏ,Đen,5,5.0,Số tự động,"FWD,Dẫn động cầu trước",Mazda,2020,2.0,Xăng
695.0,Lắp ráp trong nước,Xe đã dùng,Sedan,78000,Vàng,Kem,4,5.0,Số tự động,"FWD,Dẫn động cầu trước",Toyota,2015,2.0,Xăng
2550.0,Nhập khẩu,Xe đã dùng,SUV,70000,Đỏ,Trắng,5,5.0,Số tự động,"AWD,4 bánh toàn thời gian",LandRover,2014,1.4,Xăng
198.0,Lắp ráp trong nước,Xe đã dùng,Sedan,120000,Đen,Xám,4,5.0,Số tay,"FWD,Dẫn động cầu trước",Chevrolet,2013,1.6,Xăng
550.0,Nhập khẩu,Xe đã dùng,Bán tải / Pickup,70000,Bạc,Nhiều màu,4,5.0,Số tự động,"RFD,Dẫn động cầu sau",Ford,2016,2.2,Dầu
342.0,Lắp ráp trong nước,Xe mới,Hatchback,0,Đỏ,Đen,5,5.0,Số tự động,"FWD,Dẫn động cầu trước",VinFast,2022,1.4,Xăng
350.0,Nhập khẩu,Xe đã dùng,Sedan,120000,Bạc,Đen,4,5.0,Số tự động,"FWD,Dẫn động cầu trước",Honda,2008,2.4,Xăng
435.0,Lắp ráp trong nước,Xe đã dùng,SUV,0,Bạc,Kem,5,8.0,Số tự động,"RFD,Dẫn động cầu sau",Toyota,2012,2.7,Xăng
595.0,Nhập khẩu,Xe đã dùng,Crossover,73000,Đen,Kem,5,5.0,Số tự động,"FWD,Dẫn động cầu trước",Toyota,2009,2.7,Xăng
1639.0,Lắp ráp trong nước,Xe đã dùng,SUV,56000,Trắng,Đen,5,5.0,Số tự động,"AWD,4 bánh toàn thời gian",Mercedes,2017,2.0,Xăng
532.0,Nhập khẩu,Xe đã dùng,Bán tải / Pickup,65000,Trắng,Đen,4,5.0,Số tay,"RFD,Dẫn động cầu sau",Ford,2018,2.2,Dầu
1650.0,Lắp ráp trong nước,Xe đã dùng,SUV,36000,Trắng,Đen,5,5.0,Số tự động,"AWD,4 bánh toàn thời gian",Mercedes,2017,2.0,Xăng
920.0,Lắp ráp trong nước,Xe mới,Bán tải / Pickup,0,Cam,Đen,4,5.0,Số tự động,"4WD,Dẫn động 4 bánh",Ford,2022,2.0,Dầu
825.0,Lắp ráp trong nước,Xe đã dùng,Sedan,80000,Đen,Nâu,4,5.0,Số tự động,"RFD,Dẫn động cầu sau",Mercedes,2015,2.0,Xăng
660.0,Nhập khẩu,Xe đã dùng,SUV,100000,Đen,Kem,5,5.0,Số tự động,"AWD,4 bánh toàn thời gian",BMW,2008,3.0,Xăng
645.0,Lắp ráp trong nước,Xe đã dùng,Sedan,50000,Trắng,Nâu,4,5.0,Số tự động,"FWD,Dẫn động cầu trước",Mazda,2019,1.5,Xăng
789.0,Lắp ráp trong nước,Xe đã dùng,Crossover,28686,Trắng,Kem,5,5.0,Số tự động,"FWD,Dẫn động cầu trước",Hyundai,2018,2.0,Xăng
950.0,Lắp ráp trong nước,Xe đã dùng,SUV,0,Cam,Đen,5,7.0,Số tự động,"FWD,Dẫn động cầu trước",Hyundai,2020,2.4,Xăng
888.0,Nhập khẩu,Xe đã dùng,Bán tải / Pickup,0,Trắng,Đen,4,5.0,Số tự động,"4WD,Dẫn động 4 bánh",Ford,2021,2.0,Dầu
